incwage,inctot,state,age,sex,race,marst,vetstat,hispan,empstat,labforce,ind,educ,randnum
33000,33002,Maryland,57,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9290,High school diploma or equivalent,.0027551663
180000,180052,New York,43,Female,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6870,Master's degree,.0027591316
116000,117501,Nevada,50,Male,White,Divorced,No service,Mexican,At work,"Yes, in the labor force",7770,Bachelor's degree,.0027712744
18000,18000,Florida,29,Male,Asian only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7670,"Associate's degree, academic program",.0027808039
11988,11989,California,59,Female,White-American Indian,Widowed,No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",8370,High school diploma or equivalent,.0028107704
6000,6000,West Virginia,58,Male,White,Divorced,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,"Associate's degree, academic program",.0028124745
60000,60201,Maryland,50,Male,White,"Married, spouse present",No service,Other Hispanic,At work,"Yes, in the labor force",8180,Bachelor's degree,.0028125625
84000,87004,New York,52,Male,Black/Negro,Never married/single,No service,Other Hispanic,At work,"Yes, in the labor force",8770,High school diploma or equivalent,.0028435981
257000,257065,Virginia,51,Male,White,Separated,No service,Not Hispanic,At work,"Yes, in the labor force",5480,Bachelor's degree,.0028727418
150000,180055,Massachusetts,65,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7970,Bachelor's degree,.0028889056
35000,35000,Florida,49,Male,White,Never married/single,No service,South American,At work,"Yes, in the labor force",7870,Bachelor's degree,.0029085779
26001,26001,West Virginia,57,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8170,High school diploma or equivalent,.0029319266
60000,60000,Utah,20,Female,Hawaiian/Pacific Islander only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6070,High school diploma or equivalent,.002971916
72000,72002,Illinois,45,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3570,High school diploma or equivalent,.00298986
430000,430000,Arizona,32,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7970,Doctorate degree,.0030048972
15200,15200,West Virginia,25,Female,White,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",8680,High school diploma or equivalent,.0030088497
240000,240000,Wyoming,42,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Some college but no degree,.0030114613
26000,26000,Texas,26,Female,White,"Married, spouse present",No service,Other Hispanic,At work,"Yes, in the labor force",7860,"Associate's degree, academic program",.0030148965
36000,51050,Illinois,45,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",9570,High school diploma or equivalent,.0030166972
68000,68435,Maine,52,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3680,Bachelor's degree,.0030219795
41600,41600,Mississippi,20,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8990,Some college but no degree,.0030238016
24000,24211,Florida,52,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4970,"Associate's degree, occupational/vocational program",.0030330943
28000,28175,Nevada,31,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",8660,Some college but no degree,.0030651223
100000,102100,Washington,51,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6890,Bachelor's degree,.0030787184
37923,37923,Oregon,24,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",770,Some college but no degree,.0030797103
13000,13000,Texas,34,Female,White-Black-American Indian,"Married, spouse present",No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",7860,Bachelor's degree,.0031084984
87000,103187,Minnesota,34,Male,White,"Married, spouse present",No service,Not Hispanic,"Has job, not at work last week","Yes, in the labor force",6170,Some college but no degree,.0031191388
39000,39002,Texas,28,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",9470,Bachelor's degree,.0031348998
132000,146720,District of Columbia,44,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",9170,Master's degree,.0031509446
10000,10000,Georgia,43,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8590,High school diploma or equivalent,.0031519257
65000,119064,Ohio,32,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3390,Bachelor's degree,.0031648017
350000,366040,California,33,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Master's degree,.0031678888
45000,45066,Montana,31,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6870,Bachelor's degree,.0031764999
750000,750000,Ohio,63,Female,White-Black,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9370,Master's degree,.0032134226
50000,50003,New York,23,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8560,High school diploma or equivalent,.0032272597
52000,52010,Massachusetts,41,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6970,Master's degree,.0032434438
10000,45510,Rhode Island,56,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7670,High school diploma or equivalent,.0033136941
44000,44000,Alaska,29,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6070,High school diploma or equivalent,.0033183105
12000,12001,Maine,48,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8660,Some college but no degree,.0033264088
138000,150521,Pennsylvania,40,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",2170,Master's degree,.0033476541
68000,68000,Alabama,64,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7770,Some college but no degree,.0033482143
12000,12000,Maine,45,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,"NILF, other","No, not in the labor force",8870,High school diploma or equivalent,.0033679209
108000,114512,Washington,58,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0033699144
24700,24701,Texas,53,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0034027542
55000,55000,New Mexico,46,Male,White,"Married, spouse present",No service,Other Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.0034216635
60000,60045,California,50,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",1990,Some college but no degree,.0034307875
145000,145012,California,47,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7390,Bachelor's degree,.0034434923
41000,41000,California,29,Male,White,Never married/single,No service,South American,At work,"Yes, in the labor force",4970,"Associate's degree, occupational/vocational program",.0034596701
59000,59000,New Jersey,36,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0034604478
2000,2075,Wisconsin,18,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",5380,Some college but no degree,.0034718092
145000,145000,Alabama,46,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2290,Bachelor's degree,.0034723983
30000,30000,Michigan,33,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6180,High school diploma or equivalent,.0034775001
50000,50005,Florida,22,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",7860,High school diploma or equivalent,.0035079219
120000,120000,Tennessee,61,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9290,High school diploma or equivalent,.003513207
36539,36539,Massachusetts,59,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7970,High school diploma or equivalent,.0035176685
55000,76000,District of Columbia,33,Female,White,Never married/single,NIU,Not Hispanic,Armed Forces,NIU,0,Bachelor's degree,.0035184396
19000,41800,California,37,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7690,High school diploma or equivalent,.0035303524
85000,163816,California,56,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.003532927
120000,128003,Colorado,41,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7980,Professional school degree,.0035341375
72000,72015,New York,38,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0035357452
5000,5001,Minnesota,18,Male,White,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Some college but no degree,.0035596178
80000,80102,Georgia,31,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Master's degree,.0035649517
5000,20659,Rhode Island,18,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4970,Grade 10,.0035874159
55000,55000,Texas,37,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",4265,Master's degree,.0036058393
80000,80000,Maryland,38,Male,White,Never married/single,No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",9480,Bachelor's degree,.0036060279
55000,55205,Colorado,43,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6480,Bachelor's degree,.0036084764
4000,4000,California,20,Female,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0036098543
15000,15000,West Virginia,27,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",2470,Some college but no degree,.0036154713
16000,21000,District of Columbia,29,Male,White,Never married/single,No service,Salvadoran,"Unemployed, experienced worker","Yes, in the labor force",8680,Bachelor's degree,.003627463
50000,50000,Florida,49,Male,Black/Negro,"Married, spouse absent",Yes,Not Hispanic,At work,"Yes, in the labor force",7290,Some college but no degree,.0036446357
70000,70001,Minnesota,42,Female,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.0036530739
22476,22476,Florida,47,Female,White,"Married, spouse present",No service,South American,At work,"Yes, in the labor force",5090,"Associate's degree, academic program",.0036711264
138000,148511,New York,32,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7380,Master's degree,.0036775409
32000,32001,Michigan,52,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0037036343
17000,17000,Florida,48,Female,White,Divorced,No service,South American,At work,"Yes, in the labor force",7690,Some college but no degree,.0037036836
4000,73540,Pennsylvania,64,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5275,Master's degree,.0037046552
30000,30000,Nevada,35,Female,White,"Married, spouse present",No service,Other Hispanic,At work,"Yes, in the labor force",8980,High school diploma or equivalent,.0037314408
65000,65175,Utah,30,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8380,Bachelor's degree,.0037319753
33000,33000,North Carolina,25,Male,White,Separated,No service,Not Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.0037416546
4400,4400,California,23,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,Some college but no degree,.0037479245
32000,32000,Montana,21,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8290,High school diploma or equivalent,.0037703807
100000,100000,Michigan,64,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",2370,Bachelor's degree,.0037737228
850000,850576,Alaska,53,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6990,Bachelor's degree,.0037776895
24000,24000,Georgia,57,Male,Black/Negro,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0038264161
24832,26832,South Carolina,53,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",770,High school diploma or equivalent,.0038304068
64000,64003,Montana,55,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,"Associate's degree, occupational/vocational program",.0038372483
18720,18720,New Mexico,27,Female,American Indian/Aleut/Eskimo,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8590,Bachelor's degree,.0038566669
7000,30002,Nebraska,21,Female,White,Never married/single,No service,Not Hispanic,"Has job, not at work last week","Yes, in the labor force",770,Some college but no degree,.0038738877
27000,29101,North Carolina,54,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,"Associate's degree, academic program",.0038842827
33000,33001,Illinois,51,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4770,"Associate's degree, academic program",.0038944986
35000,35010,Alabama,44,Male,Black/Negro,Widowed,No service,Not Hispanic,At work,"Yes, in the labor force",6170,Grade 11,.0038950711
33000,33200,Michigan,42,Male,White,Widowed,No service,Not Hispanic,At work,"Yes, in the labor force",770,Some college but no degree,.0038997643
44000,50000,California,49,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,"Associate's degree, occupational/vocational program",.0039345999
7900,8582,Ohio,65,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6470,Bachelor's degree,.0039563267
55000,55001,California,55,Male,Asian only,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",8190,"Associate's degree, academic program",.0039689797
30000,30000,Wyoming,31,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",5380,Some college but no degree,.0039803805
4600,4601,Texas,18,Female,White,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Grade 11,.0040156627
70000,70001,Florida,38,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8660,"Associate's degree, occupational/vocational program",.0040414496
68000,68512,North Carolina,52,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4170,Some college but no degree,.0040603583
20000,20003,New Jersey,33,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7270,Bachelor's degree,.0040632361
50000,50000,California,33,Female,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8180,Bachelor's degree,.0040746341
10000,60004,Nebraska,42,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7070,Bachelor's degree,.0040813927
35000,35000,Missouri,57,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Grade 11,.0040895324
150000,166003,New Jersey,37,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2190,Doctorate degree,.0041111633
80000,81201,Washington,46,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5090,Some college but no degree,.0041294834
70000,70940,Pennsylvania,51,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0041566174
85000,89030,Texas,40,Male,White,"Married, spouse present",Yes,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",9590,"Associate's degree, occupational/vocational program",.0041668098
27000,27000,Nevada,24,Male,American Indian/Aleut/Eskimo,Never married/single,No service,Mexican,At work,"Yes, in the labor force",8680,Some college but no degree,.0041808691
70000,70010,Texas,24,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7290,Bachelor's degree,.0042065606
17700,17704,Minnesota,26,Female,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0042087119
22000,22000,North Carolina,22,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4970,Some college but no degree,.004213782
22000,26013,New Jersey,58,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5592,High school diploma or equivalent,.0042151571
70000,86500,District of Columbia,30,Male,White,Never married/single,No service,Other Hispanic,At work,"Yes, in the labor force",490,Master's degree,.0042289915
48000,48012,West Virginia,49,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9570,Bachelor's degree,.0042356662
70000,70202,New Jersey,49,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4380,Master's degree,.0042413324
9000,23280,New Mexico,64,Female,White,Widowed,No service,Not Hispanic,At work,"Yes, in the labor force",5490,High school diploma or equivalent,.0042532971
63500,91502,New York,49,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0042673247
15000,26400,New Mexico,27,Female,Asian only,Never married/single,Yes,Other Hispanic,At work,"Yes, in the labor force",6990,"Associate's degree, occupational/vocational program",.0042679459
36000,50964,Massachusetts,30,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7890,Master's degree,.0042938846
35000,35000,Pennsylvania,29,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6170,High school diploma or equivalent,.0043084417
75000,75500,North Carolina,31,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Doctorate degree,.0043215789
86000,96420,Florida,50,Female,White-Black,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",6670,Master's degree,.0043225852
25000,25000,Indiana,47,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",6390,Some college but no degree,.0043292614
38000,38001,Wisconsin,42,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8770,High school diploma or equivalent,.0043525952
18000,18000,Washington,54,Female,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",6390,Grades 7 or 8,.0043641878
80000,80150,Kentucky,63,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",1370,Some college but no degree,.0043666423
28000,28000,South Dakota,33,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7470,"Associate's degree, occupational/vocational program",.0043769167
20000,20000,New Mexico,37,Female,American Indian/Aleut/Eskimo,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7670,High school diploma or equivalent,.0043870346
43500,86150,Maryland,63,Female,White,"Married, spouse present",No service,Not Hispanic,"NILF, retired","No, not in the labor force",7860,Master's degree,.0043944921
85000,85000,Washington,40,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",2570,High school diploma or equivalent,.0044113682
60000,60002,Pennsylvania,44,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6690,"Associate's degree, academic program",.0044223578
20800,20800,Nevada,33,Male,White,Separated,No service,Not Hispanic,At work,"Yes, in the labor force",7590,"Associate's degree, academic program",.0044495296
240000,242253,North Dakota,45,Female,White,"Married, spouse present",No service,Not Hispanic,"Has job, not at work last week","Yes, in the labor force",8190,Professional school degree,.0044503463
67000,67100,Alabama,42,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9480,Master's degree,.0044764685
35000,39779,New York,51,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8680,Bachelor's degree,.0044773314
62000,62701,Florida,50,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7070,Bachelor's degree,.004482883
40000,40035,Ohio,56,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6990,Bachelor's degree,.0045139161
33280,33780,Georgia,24,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",5070,"Associate's degree, occupational/vocational program",.0045507066
11400,11400,New Mexico,21,Female,American Indian/Aleut/Eskimo,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8660,Some college but no degree,.0045633451
36000,36010,California,50,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6170,High school diploma or equivalent,.0045693158
11000,11000,Indiana,56,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8090,Some college but no degree,.0045965277
8000,8006,Delaware,21,Male,White,Never married/single,No service,Puerto Rican,At work,"Yes, in the labor force",7870,Some college but no degree,.0046234732
52000,64000,South Carolina,40,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9160,Master's degree,.0046446864
60000,90013,Hawaii,46,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9570,Bachelor's degree,.0046872501
106000,106156,New Mexico,45,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Some college but no degree,.0046962956
27000,27000,California,32,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",770,Some college but no degree,.0047008665
30000,30000,California,48,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",770,Some college but no degree,.0047251577
37000,37000,New Mexico,24,Male,Asian only,Never married/single,No service,Other Hispanic,At work,"Yes, in the labor force",7680,"Associate's degree, occupational/vocational program",.0047314907
100000,101450,Illinois,48,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7380,Master's degree,.0047419267
12000,12160,South Dakota,54,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",9090,Some college but no degree,.004757442
110000,110700,Connecticut,42,Female,White-Black-Asian,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.0047645466
150000,165998,North Carolina,56,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5580,Master's degree,.0047652884
65000,65100,Texas,62,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Master's degree,.0047720289
137000,178335,Colorado,55,Male,White,"Married, spouse present",Yes,Not Hispanic,At work,"Yes, in the labor force",7290,"Associate's degree, academic program",.004799589
78000,80015,District of Columbia,43,Male,Black-American Indian,Never married/single,No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",9480,Master's degree,.0048139882
26000,26000,Pennsylvania,27,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5275,High school diploma or equivalent,.0048260433
65000,66040,Ohio,56,Male,White,Never married/single,Yes,Not Hispanic,At work,"Yes, in the labor force",3190,Some college but no degree,.0048319679
18257,22457,Oregon,40,Female,White,"Married, spouse absent",No service,Not Hispanic,At work,"Yes, in the labor force",8270,High school diploma or equivalent,.0048477184
87000,87300,New York,41,Female,White,"Married, spouse present",No service,Puerto Rican,At work,"Yes, in the labor force",7860,Master's degree,.0048556826
190000,202270,Pennsylvania,36,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8370,Master's degree,.0048586177
48000,48600,Arkansas,41,Male,White,"Married, spouse present",No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",3190,High school diploma or equivalent,.0048951078
27000,28024,New Mexico,53,Female,White,"Married, spouse present",No service,Other Hispanic,At work,"Yes, in the labor force",8190,High school diploma or equivalent,.0049061216
70000,77800,Michigan,47,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0049069962
34000,34000,Texas,40,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,High school diploma or equivalent,.0049230042
7000,11952,Virginia,57,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8660,Some college but no degree,.0049291253
51000,52701,Iowa,59,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7870,High school diploma or equivalent,.0049309479
24000,24099,Texas,25,Female,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",4390,Bachelor's degree,.0049538887
53000,56025,Washington,43,Female,Hawaiian/Pacific Islander only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8270,Bachelor's degree,.0049569039
45000,45010,Pennsylvania,47,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0049608601
300000,399100,Virginia,47,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8190,Professional school degree,.0049633696
33000,33010,California,24,Male,Asian only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",5592,Some college but no degree,.0049718753
68000,79511,Wisconsin,44,Male,White,Divorced,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Some college but no degree,.0049848375
35000,36101,Hawaii,56,Female,Hawaiian/Pacific Islander only,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8190,Some college but no degree,.0050014076
21000,51101,District of Columbia,24,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0050318521
35000,37202,Wyoming,38,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",4870,"Associate's degree, academic program",.0050475625
30000,30000,Florida,61,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8270,"12th grade, no diploma",.0050722035
60000,61514,Hawaii,51,Female,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",670,Master's degree,.0050858674
55000,55015,Idaho,30,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8990,"Associate's degree, occupational/vocational program",.005096517
19000,19000,Florida,42,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0050968449
24400,54553,Minnesota,40,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7680,Some college but no degree,.0051058657
40000,40000,California,59,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7690,Bachelor's degree,.0051107225
9700,9700,Montana,31,Female,White,"Married, spouse present",No service,Not Hispanic,"NILF, other","No, not in the labor force",0,"Associate's degree, occupational/vocational program",.0051169866
19000,19000,Maryland,28,Male,Black/Negro,Never married/single,No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",7770,"12th grade, no diploma",.0051570777
37000,53100,New York,39,Female,Black/Negro,Divorced,Yes,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.0051582409
850000,850020,District of Columbia,34,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7570,Bachelor's degree,.0051608076
45000,45526,New Mexico,51,Male,White,"Married, spouse present",Yes,Mexican,At work,"Yes, in the labor force",9480,"Associate's degree, occupational/vocational program",.005174133
4000,4000,Washington,20,Female,White,Never married/single,No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Bachelor's degree,.0051831054
60000,61202,Minnesota,32,Male,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3980,High school diploma or equivalent,.0051871915
60000,61000,California,40,Female,Asian only,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8090,Bachelor's degree,.0051977639
42000,44303,Texas,31,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",6990,Some college but no degree,.005207656
60000,60000,California,51,Male,White,"Married, spouse absent",No service,Mexican,At work,"Yes, in the labor force",8680,High school diploma or equivalent,.0052399426
94000,94879,Minnesota,43,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7580,Bachelor's degree,.0052641458
60150,67123,Maine,52,Female,White,Widowed,No service,Not Hispanic,At work,"Yes, in the labor force",8190,Bachelor's degree,.0052699912
75000,75015,Georgia,44,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Doctorate degree,.0052780742
31000,31004,Michigan,26,Female,White,Never married/single,No service,Not Hispanic,"Has job, not at work last week","Yes, in the labor force",290,"Associate's degree, academic program",.0052792719
80000,80006,Maine,57,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7380,Bachelor's degree,.0052995444
55000,55500,Tennessee,48,Male,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",3570,Bachelor's degree,.0053071207
